support,support_pct,apriori_time,fpgrowth_time,speedup,apriori_itemsets,fpgrowth_itemsets,apriori_rules,fpgrowth_rules,itemsets_match,rules_match
0.015,1.5%,7.494509935379028,9.601841926574707,0.780528360359351,755,755,738,738,True,True
0.02,2.0%,5.204988479614258,4.93082857131958,1.0556011843302247,400,400,218,218,True,True
0.025,2.5%,3.559767246246338,3.2617263793945312,1.0913751897567605,230,230,86,86,True,True
0.03,3.0%,2.5489251613616943,1.8723399639129639,1.3613580922744122,145,145,22,22,True,True
0.035,3.5%,1.9230105876922607,1.5949194431304932,1.205710166726536,98,98,8,8,True,True
0.04,4.0%,1.3468966484069824,2.0594005584716797,0.6540236394839769,66,66,2,2,True,True
